time,total_gpu_num,idle_gpu_num,pending_gpu_num,running_gpujob_num,pending_gpujob_num,pending_job_num_less_8,total_node_num,consolidate_node_num,shared_node_num,gpu_utilization
0.0,128,128,0,0,0,0,16,0,0,0.0
60.0,128,128,0,0,0,0,16,0,0,0.0
120.0,128,128,0,0,0,0,16,0,0,0.0
180.0,128,128,0,0,0,0,16,0,0,0.0
240.0,128,128,0,0,0,0,16,0,0,0.0
300.0,128,128,0,0,0,0,16,0,0,0.0
360.0,128,128,0,0,0,0,16,0,0,0.0
420.0,128,128,0,0,0,0,16,0,0,0.0
480.0,128,128,0,0,0,0,16,0,0,0.0
540.0,128,128,0,0,0,0,16,0,0,0.0
600.0,128,128,0,0,0,0,16,0,0,0.0
660.0,128,128,0,0,0,0,16,0,0,0.0
720.0,128,128,0,0,0,0,16,0,0,0.0
780.0,128,128,0,0,0,0,16,0,0,0.0
840.0,128,128,0,0,0,0,16,0,0,0.0
900.0,128,128,0,0,0,0,16,0,0,0.0
960.0,128,128,0,0,0,0,16,0,0,0.0
1020.0,128,128,0,0,0,0,16,0,0,0.0
1080.0,128,128,0,0,0,0,16,0,0,0.0
1140.0,128,128,0,0,0,0,16,0,0,0.0
1200.0,128,128,0,0,0,0,16,0,0,0.0
1260.0,128,128,0,0,0,0,16,0,0,0.0
1320.0,128,128,0,0,0,0,16,0,0,0.0
1380.0,128,128,0,0,0,0,16,0,0,0.0
1440.0,128,128,0,0,0,0,16,0,0,0.0
1500.0,128,128,0,0,0,0,16,0,0,0.0
1560.0,128,128,0,0,0,0,16,0,0,0.0
1620.0,128,128,0,0,0,0,16,0,0,0.0
1680.0,128,128,0,0,0,0,16,0,0,0.0
1740.0,128,128,0,0,0,0,16,0,0,0.0
1800.0,128,128,0,0,0,0,16,0,0,0.0
1860.0,128,128,0,0,0,0,16,0,0,0.0
1920.0,128,128,0,0,0,0,16,0,0,0.0
1980.0,128,128,0,0,0,0,16,0,0,0.0
2040.0,128,128,0,0,0,0,16,0,0,0.0
2100.0,128,128,0,0,0,0,16,0,0,0.0
2160.0,128,128,0,0,0,0,16,0,0,0.0
2220.0,128,128,0,0,0,0,16,0,0,0.0
2280.0,128,128,0,0,0,0,16,0,0,0.0
2340.0,128,128,0,0,0,0,16,0,0,0.0
2400.0,128,128,0,0,0,0,16,0,0,0.0
2460.0,128,128,0,0,0,0,16,0,0,0.0
2520.0,128,128,0,0,0,0,16,0,0,0.0
2580.0,128,128,0,0,0,0,16,0,0,0.0
2640.0,128,128,0,0,0,0,16,0,0,0.0
2700.0,128,128,0,0,0,0,16,0,0,0.0
2760.0,128,128,0,0,0,0,16,0,0,0.0
2820.0,128,128,0,0,0,0,16,0,0,0.0
2880.0,128,128,0,0,0,0,16,0,0,0.0
2940.0,128,128,0,0,0,0,16,0,0,0.0
3000.0,128,128,0,0,0,0,16,0,0,0.0
3060.0,128,128,0,0,0,0,16,0,0,0.0
3120.0,128,128,0,0,0,0,16,0,0,0.0
3180.0,128,128,0,0,0,0,16,0,0,0.0
3240.0,128,128,0,0,0,0,16,0,0,0.0
3300.0,128,128,0,0,0,0,16,0,0,0.0
3360.0,128,128,0,0,0,0,16,0,0,0.0
3420.0,128,128,0,0,0,0,16,0,0,0.0
3480.0,128,128,0,0,0,0,16,0,0,0.0
3540.0,128,128,0,0,0,0,16,0,0,0.0
3600.0,128,128,0,0,0,0,16,0,0,0.0
3660.0,128,128,0,0,0,0,16,0,0,0.0
3720.0,128,128,0,0,0,0,16,0,0,0.0
3780.0,128,128,0,0,0,0,16,0,0,0.0
3840.0,128,128,0,0,0,0,16,0,0,0.0
3900.0,128,128,0,0,0,0,16,0,0,0.0
3960.0,128,128,0,0,0,0,16,0,0,0.0
4020.0,128,128,0,0,0,0,16,0,0,0.0
4080.0,128,128,0,0,0,0,16,0,0,0.0
4140.0,128,128,0,0,0,0,16,0,0,0.0
4200.0,128,128,0,0,0,0,16,0,0,0.0
4260.0,128,128,0,0,0,0,16,0,0,0.0
4320.0,128,128,0,0,0,0,16,0,0,0.0
4380.0,128,128,0,0,0,0,16,0,0,0.0
4440.0,128,128,0,0,0,0,16,0,0,0.0
4500.0,128,128,0,0,0,0,16,0,0,0.0
4560.0,128,128,0,0,0,0,16,0,0,0.0
4620.0,128,128,0,0,0,0,16,0,0,0.0
4680.0,128,128,0,0,0,0,16,0,0,0.0
4740.0,128,128,0,0,0,0,16,0,0,0.0
4800.0,128,128,0,0,0,0,16,0,0,0.0
4860.0,128,128,0,0,0,0,16,0,0,0.0
4920.0,128,128,0,0,0,0,16,0,0,0.0
4980.0,128,128,0,0,0,0,16,0,0,0.0
5040.0,128,128,0,0,0,0,16,0,0,0.0
5100.0,128,128,0,0,0,0,16,0,0,0.0
5160.0,128,128,0,0,0,0,16,0,0,0.0
5220.0,128,128,0,0,0,0,16,0,0,0.0
5280.0,128,128,0,0,0,0,16,0,0,0.0
5340.0,128,128,0,0,0,0,16,0,0,0.0
5400.0,128,128,0,0,0,0,16,0,0,0.0
5460.0,128,128,0,0,0,0,16,0,0,0.0
5520.0,128,128,0,0,0,0,16,0,0,0.0
5580.0,128,128,0,0,0,0,16,0,0,0.0
5640.0,128,128,0,0,0,0,16,0,0,0.0
5700.0,128,128,0,0,0,0,16,0,0,0.0
5760.0,128,128,0,0,0,0,16,0,0,0.0
5820.0,128,128,0,0,0,0,16,0,0,0.0
5880.0,128,128,0,0,0,0,16,0,0,0.0
5940.0,128,128,0,0,0,0,16,0,0,0.0
6000.0,128,128,0,0,0,0,16,0,0,0.0
6060.0,128,128,0,0,0,0,16,0,0,0.0
6120.0,128,128,0,0,0,0,16,0,0,0.0
6180.0,128,128,0,0,0,0,16,0,0,0.0
6240.0,128,128,0,0,0,0,16,0,0,0.0
6300.0,128,128,0,0,0,0,16,0,0,0.0
6360.0,128,128,0,0,0,0,16,0,0,0.0
6420.0,128,128,0,0,0,0,16,0,0,0.0
6480.0,128,128,0,0,0,0,16,0,0,0.0
6540.0,128,128,0,0,0,0,16,0,0,0.0
6600.0,128,128,0,0,0,0,16,0,0,0.0
6660.0,128,128,0,0,0,0,16,0,0,0.0
6720.0,128,128,0,0,0,0,16,0,0,0.0
6780.0,128,128,0,0,0,0,16,0,0,0.0
6840.0,128,128,0,0,0,0,16,0,0,0.0
6900.0,128,128,0,0,0,0,16,0,0,0.0
6960.0,128,128,0,0,0,0,16,0,0,0.0
7020.0,128,128,0,0,0,0,16,0,0,0.0
7080.0,128,128,0,0,0,0,16,0,0,0.0
7140.0,128,128,0,0,0,0,16,0,0,0.0
7200.0,128,128,0,0,0,0,16,0,0,0.0
7260.0,128,128,0,0,0,0,16,0,0,0.0
7320.0,128,128,0,0,0,0,16,0,0,0.0
7380.0,128,128,0,0,0,0,16,0,0,0.0
7440.0,128,128,0,0,0,0,16,0,0,0.0
7500.0,128,128,0,0,0,0,16,0,0,0.0
7560.0,128,128,0,0,0,0,16,0,0,0.0
7620.0,128,128,0,0,0,0,16,0,0,0.0
7680.0,128,128,0,0,0,0,16,0,0,0.0
7740.0,128,128,0,0,0,0,16,0,0,0.0
7800.0,128,128,0,0,0,0,16,0,0,0.0
7860.0,128,128,0,0,0,0,16,0,0,0.0
7920.0,128,128,0,0,0,0,16,0,0,0.0
7980.0,128,128,0,0,0,0,16,0,0,0.0
8040.0,128,128,0,0,0,0,16,0,0,0.0
8100.0,128,128,0,0,0,0,16,0,0,0.0
8160.0,128,128,0,0,0,0,16,0,0,0.0
8220.0,128,128,0,0,0,0,16,0,0,0.0
8280.0,128,128,0,0,0,0,16,0,0,0.0
8340.0,128,128,0,0,0,0,16,0,0,0.0
8400.0,128,128,0,0,0,0,16,0,0,0.0
8460.0,128,128,0,0,0,0,16,0,0,0.0
8520.0,128,128,0,0,0,0,16,0,0,0.0
8580.0,128,128,0,0,0,0,16,0,0,0.0
8640.0,128,128,0,0,0,0,16,0,0,0.0
8700.0,128,128,0,0,0,0,16,0,0,0.0
8760.0,128,128,0,0,0,0,16,0,0,0.0
8820.0,128,128,0,0,0,0,16,0,0,0.0
8880.0,128,128,0,0,0,0,16,0,0,0.0
8940.0,128,128,0,0,0,0,16,0,0,0.0
9000.0,128,128,0,0,0,0,16,0,0,0.0
9060.0,128,128,0,0,0,0,16,0,0,0.0
9120.0,128,128,0,0,0,0,16,0,0,0.0
9180.0,128,128,0,0,0,0,16,0,0,0.0
9240.0,128,128,0,0,0,0,16,0,0,0.0
9300.0,128,128,0,0,0,0,16,0,0,0.0
9360.0,128,128,0,0,0,0,16,0,0,0.0
9420.0,128,128,0,0,0,0,16,0,0,0.0
9480.0,128,128,0,0,0,0,16,0,0,0.0
9540.0,128,128,0,0,0,0,16,0,0,0.0
9600.0,128,128,0,0,0,0,16,0,0,0.0
9660.0,128,128,0,0,0,0,16,0,0,0.0
9720.0,128,128,0,0,0,0,16,0,0,0.0
9780.0,128,128,0,0,0,0,16,0,0,0.0
9840.0,128,128,0,0,0,0,16,0,0,0.0
9900.0,128,128,0,0,0,0,16,0,0,0.0
9960.0,128,128,0,0,0,0,16,0,0,0.0
10020.0,128,128,0,0,0,0,16,0,0,0.0
10080.0,128,128,0,0,0,0,16,0,0,0.0
10140.0,128,128,0,0,0,0,16,0,0,0.0
10200.0,128,128,0,0,0,0,16,0,0,0.0
10260.0,128,128,0,0,0,0,16,0,0,0.0
10320.0,128,128,0,0,0,0,16,0,0,0.0
10380.0,128,128,0,0,0,0,16,0,0,0.0
10440.0,128,128,0,0,0,0,16,0,0,0.0
10500.0,128,128,0,0,0,0,16,0,0,0.0
10560.0,128,127,0,1,0,0,16,1,0,0.008
10620.0,128,127,0,1,0,0,16,1,0,0.008
10680.0,128,127,0,1,0,0,16,1,0,0.008
10740.0,128,127,0,1,0,0,16,1,0,0.008
10800.0,128,127,0,1,0,0,16,1,0,0.008
10860.0,128,127,0,1,0,0,16,1,0,0.008
10920.0,128,127,0,1,0,0,16,1,0,0.008
10980.0,128,127,0,1,0,0,16,1,0,0.008
11040.0,128,127,0,1,0,0,16,1,0,0.008
11100.0,128,127,0,1,0,0,16,1,0,0.008
11160.0,128,127,0,1,0,0,16,1,0,0.008
11220.0,128,127,0,1,0,0,16,1,0,0.008
11280.0,128,127,0,1,0,0,16,1,0,0.008
11340.0,128,127,0,1,0,0,16,1,0,0.008
11400.0,128,127,0,1,0,0,16,1,0,0.008
11460.0,128,127,0,1,0,0,16,1,0,0.008
11520.0,128,127,0,1,0,0,16,1,0,0.008
11580.0,128,127,0,1,0,0,16,1,0,0.008
11640.0,128,127,0,1,0,0,16,1,0,0.008
11700.0,128,127,0,1,0,0,16,1,0,0.008
11760.0,128,127,0,1,0,0,16,1,0,0.008
11820.0,128,127,0,1,0,0,16,1,0,0.008
11880.0,128,127,0,1,0,0,16,1,0,0.008
11940.0,128,127,0,1,0,0,16,1,0,0.008
12000.0,128,127,0,1,0,0,16,1,0,0.008
12060.0,128,127,0,1,0,0,16,1,0,0.008
12120.0,128,127,0,1,0,0,16,1,0,0.008
12180.0,128,127,0,1,0,0,16,1,0,0.008
12240.0,128,127,0,1,0,0,16,1,0,0.008
12300.0,128,127,0,1,0,0,16,1,0,0.008
12360.0,128,127,0,1,0,0,16,1,0,0.008
12420.0,128,127,0,1,0,0,16,1,0,0.008
12480.0,128,127,0,1,0,0,16,1,0,0.008
12540.0,128,127,0,1,0,0,16,1,0,0.008
12600.0,128,127,0,1,0,0,16,1,0,0.008
12660.0,128,127,0,1,0,0,16,1,0,0.008
12720.0,128,127,0,1,0,0,16,1,0,0.008
12780.0,128,127,0,1,0,0,16,1,0,0.008
