2022 May 03 17:38:33 | SpawnPoolWorker-5 | 103959 | Time: 0 | Total Job: 2188 | End job: 0 | Running job: 0 | Pending job: 0
2022 May 03 17:38:33 | SpawnPoolWorker-5 | 103959 | Time: 30000 | Total Job: 2188 | End job: 6 | Running job: 0 | Pending job: 0
2022 May 03 17:38:34 | SpawnPoolWorker-5 | 103959 | Time: 60000 | Total Job: 2188 | End job: 9 | Running job: 0 | Pending job: 0
2022 May 03 17:38:34 | SpawnPoolWorker-5 | 103959 | Time: 90000 | Total Job: 2188 | End job: 11 | Running job: 0 | Pending job: 0
2022 May 03 17:38:35 | SpawnPoolWorker-5 | 103959 | Time: 120000 | Total Job: 2188 | End job: 17 | Running job: 0 | Pending job: 0
2022 May 03 17:38:35 | SpawnPoolWorker-5 | 103959 | Time: 150000 | Total Job: 2188 | End job: 17 | Running job: 0 | Pending job: 0
2022 May 03 17:38:36 | SpawnPoolWorker-5 | 103959 | Time: 180000 | Total Job: 2188 | End job: 17 | Running job: 1 | Pending job: 0
2022 May 03 17:38:36 | SpawnPoolWorker-5 | 103959 | Time: 210000 | Total Job: 2188 | End job: 24 | Running job: 1 | Pending job: 0
2022 May 03 17:38:36 | SpawnPoolWorker-5 | 103959 | Time: 240000 | Total Job: 2188 | End job: 24 | Running job: 1 | Pending job: 0
2022 May 03 17:38:37 | SpawnPoolWorker-5 | 103959 | Time: 270000 | Total Job: 2188 | End job: 26 | Running job: 5 | Pending job: 0
2022 May 03 17:38:37 | SpawnPoolWorker-5 | 103959 | Time: 300000 | Total Job: 2188 | End job: 43 | Running job: 5 | Pending job: 0
2022 May 03 17:38:38 | SpawnPoolWorker-5 | 103959 | Time: 330000 | Total Job: 2188 | End job: 54 | Running job: 3 | Pending job: 0
2022 May 03 17:38:38 | SpawnPoolWorker-5 | 103959 | Time: 360000 | Total Job: 2188 | End job: 54 | Running job: 6 | Pending job: 0
2022 May 03 17:38:39 | SpawnPoolWorker-5 | 103959 | Time: 390000 | Total Job: 2188 | End job: 63 | Running job: 8 | Pending job: 0
