2022 May 03 17:38:31 | SpawnPoolWorker-1 | ee9e8c | Time: 0 | Total Job: 4247 | End job: 0 | Running job: 0 | Pending job: 0
2022 May 03 17:38:32 | SpawnPoolWorker-1 | ee9e8c | Time: 30000 | Total Job: 4247 | End job: 4 | Running job: 3 | Pending job: 0
2022 May 03 17:38:33 | SpawnPoolWorker-1 | ee9e8c | Time: 60000 | Total Job: 4247 | End job: 6 | Running job: 2 | Pending job: 0
2022 May 03 17:38:34 | SpawnPoolWorker-1 | ee9e8c | Time: 90000 | Total Job: 4247 | End job: 18 | Running job: 3 | Pending job: 0
2022 May 03 17:38:35 | SpawnPoolWorker-1 | ee9e8c | Time: 120000 | Total Job: 4247 | End job: 20 | Running job: 11 | Pending job: 0
2022 May 03 17:38:36 | SpawnPoolWorker-1 | ee9e8c | Time: 150000 | Total Job: 4247 | End job: 23 | Running job: 13 | Pending job: 0
2022 May 03 17:38:37 | SpawnPoolWorker-1 | ee9e8c | Time: 180000 | Total Job: 4247 | End job: 133 | Running job: 35 | Pending job: 0
2022 May 03 17:38:38 | SpawnPoolWorker-1 | ee9e8c | Time: 210000 | Total Job: 4247 | End job: 169 | Running job: 18 | Pending job: 0
2022 May 03 17:38:39 | SpawnPoolWorker-1 | ee9e8c | Time: 240000 | Total Job: 4247 | End job: 175 | Running job: 16 | Pending job: 0
2022 May 03 17:38:40 | SpawnPoolWorker-1 | ee9e8c | Time: 270000 | Total Job: 4247 | End job: 179 | Running job: 121 | Pending job: 0
2022 May 03 17:38:41 | SpawnPoolWorker-1 | ee9e8c | Time: 300000 | Total Job: 4247 | End job: 187 | Running job: 124 | Pending job: 0
2022 May 03 17:38:42 | SpawnPoolWorker-1 | ee9e8c | Time: 330000 | Total Job: 4247 | End job: 190 | Running job: 124 | Pending job: 0
2022 May 03 17:38:43 | SpawnPoolWorker-1 | ee9e8c | Time: 360000 | Total Job: 4247 | End job: 197 | Running job: 124 | Pending job: 0
2022 May 03 17:38:44 | SpawnPoolWorker-1 | ee9e8c | Time: 390000 | Total Job: 4247 | End job: 200 | Running job: 125 | Pending job: 0
2022 May 03 17:38:46 | SpawnPoolWorker-1 | ee9e8c | Time: 420000 | Total Job: 4247 | End job: 215 | Running job: 127 | Pending job: 0
2022 May 03 17:38:47 | SpawnPoolWorker-1 | ee9e8c | Time: 450000 | Total Job: 4247 | End job: 305 | Running job: 76 | Pending job: 0
2022 May 03 17:38:47 | SpawnPoolWorker-1 | ee9e8c | Time: 480000 | Total Job: 4247 | End job: 314 | Running job: 76 | Pending job: 0
2022 May 03 17:38:48 | SpawnPoolWorker-1 | ee9e8c | Time: 510000 | Total Job: 4247 | End job: 345 | Running job: 79 | Pending job: 0
2022 May 03 17:38:49 | SpawnPoolWorker-1 | ee9e8c | Time: 540000 | Total Job: 4247 | End job: 372 | Running job: 85 | Pending job: 0
2022 May 03 17:38:50 | SpawnPoolWorker-1 | ee9e8c | Time: 570000 | Total Job: 4247 | End job: 405 | Running job: 84 | Pending job: 0
